case_id,subject_id,scenario_name,policy_id,iteration,executed_known_alpha_count,supported_point_count,new_supported_point_count,support_role,reliability_updated_from_support
hip_stiff__matched_linear,hip_stiff,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,2,12100,4450,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,3,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,4,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,5,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,6,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,7,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P0_SUPPORTED_ONLY_GREEDY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,2,12100,4450,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,3,12650,550,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,4,13200,550,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,5,13750,550,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,6,14300,550,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,7,14850,550,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P0_SUPPORTED_ONLY_GREEDY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,7650,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,2,12100,4450,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,3,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,4,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,5,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,6,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,7,12100,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,1,2,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,2,3,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,3,4,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,4,5,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,5,6,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P0_SUPPORTED_ONLY_GREEDY,6,7,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,1,2,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,2,3,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,3,4,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,4,5,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,5,6,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,6,7,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,1,2,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,2,3,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,3,4,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,4,5,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,5,6,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,6,7,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,1,2,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,2,3,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,3,4,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,4,5,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,5,6,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,2,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,3,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,4,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,5,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,6,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,1,2,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,2,3,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,3,4,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,4,5,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,5,6,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P0_SUPPORTED_ONLY_GREEDY,6,7,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__structured_residual,baseline,structured_residual,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,1,2,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,2,3,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,3,4,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,4,5,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,5,6,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P0_SUPPORTED_ONLY_GREEDY,6,7,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
baseline__combined_mild,baseline,combined_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,1,13750,0,DATA_PROVENANCE_NOT_RELIABILITY_APPROVAL,False
