family_id,actual_fields,classification,classification_name,reason,eligible_for_cohort_generation,learner_overlap,range_status,smoke_tested
MUSCLE_ACTIVATION_TIME_CONSTANTS,actuator_dynprm[0:2],B,SECONDARY PHYSIOLOGICAL-LIKE VARIABILITY,Activation/deactivation time constants have fiber-state meaning but do not affect frozen zero-activation P0 truth and need a separate active-condition protocol.,NO_IN_PRIMARY_P0,not directly represented,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
LOW_BACKGROUND_ACTIVATION_STATE,"mjData.ctrl; mjData.act within actuator_ctrlrange [0,1]",B,SECONDARY PHYSIOLOGICAL-LIKE VARIABILITY,Represents trial state rather than fixed musculoskeletal structure; keep it episode-level unless an independently justified subject baseline is frozen.,EPISODE_NUISANCE_ONLY,not directly represented,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
TENDON_PATH_ATTACHMENTS_AND_WRAPS,tendon path; wrap_objid; site_pos; geom_pos/size; tendon_lengthspring,E,DO NOT PERTURB,"Direct edits can invalidate moment arms, wrapping topology and the converted musculoskeletal geometry.",NO,not directly represented,NOT_APPLICABLE,False
TENDON_ELASTICITY,tendon_stiffness; tendon_damping (both zero in frozen model),D,STRESS TEST ONLY,Enabling nonzero elasticity changes the frozen inelastic-tendon model class and lacks calibrated values.,NO_IN_V1,not directly represented,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
JOINT_DAMPING_STIFFNESS_FRICTION,dof_damping; jnt_stiffness; dof_frictionloss,D,STRESS TEST ONLY,"Numerically perturbable, but direct K/B-like truth would overlap the simplified learner and risk circular validation.",NO_PRIMARY_COHORT,directly overlaps learner K/B semantics,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
JOINT_ARMATURE,dof_armature,D,STRESS TEST ONLY,A numerical rotor/inertial regularizer rather than an established patient musculoskeletal factor here.,NO_PRIMARY_COHORT,mass-like numerical effect,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
JOINT_RANGE_AND_COORDINATE_SEMANTICS,jnt_range; jnt_axis; jnt_pos,E,DO NOT PERTURB,"Would alter the frozen native domain, coordinate definition or physical joint mapping.",NO,not directly represented,NOT_APPLICABLE,False
KNEE_PATELLA_EQUALITY_MECHANISM,eq_data polynomial coefficients; solref; solimp,E,DO NOT PERTURB,Defines the frozen coupled knee/patella coordinate manifold required by the truth projection.,NO,not directly represented,NOT_APPLICABLE,False
MEASUREMENT_INTERFACE_NOISE,future observation/measurement layer only; not an mjModel subject parameter,C,ROBUSTNESS / NUISANCE ONLY,Useful for robustness testing but must never be described as patient musculoskeletal heterogeneity.,SEPARATE_OBSERVATION_PROTOCOL_ONLY,observation rather than truth model,RANGE_REQUIRES_EXTERNAL_EVIDENCE,False
SOLVER_DRIVER_NUMERICS,mjOption solver/timestep; diagnostic qfrc_applied driver,C,ROBUSTNESS / NUISANCE ONLY,"Numerical/replay nuisance, not a subject parameter; frozen for comparable cohort truth generation.",NO_VARIATION_DURING_TRUTH_GENERATION,none,NOT_APPLICABLE,False
