case_id,subject_id,scenario_name,policy_id,semantic_role,research_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_bundle_authorized_trials,number_of_executed_false_improvements,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_operating_alpha_hip,final_operating_alpha_knee,final_operating_alpha_phase,stop_reason,trial_budget,heldout_final_test_used,calibration_cases_used_for_policy_outcomes,new_policy_default_enabled,human_ready,robot_motion_approved,model_reliability_status,evaluated_decision_rounds,missed_improvement_rounds,premature_conservative_stops,correct_local_stops,final_selected_J_truth,truth_optimum_trajectory_id,truth_optimum_J,truth_optimum_alpha_hip,truth_optimum_alpha_knee,truth_optimum_alpha_phase,global_truth_regret,final_local_regret,post_policy_truth_fed_back
knee_stiff__matched_linear,knee_stiff,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,8,0,8,0,0,1,1,0,0,8,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,9,0,0,1,1,asym_h+2.000_k-5.000_p+0.03000,0.974773873094,2,-5,0.03,0.0252261269059,0.00111915879411,False
knee_stiff__matched_linear,knee_stiff,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,20,16,4,16,0,1,0.98339413433,0.0166058656702,0.0464759120258,20,0,-3.75,0,0,-4,0,STOP_MAX_PERSONALIZATION_TRIALS,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,20,0,0,0,0.983399227179,asym_h+2.000_k-5.000_p+0.03000,0.974773873094,2,-5,0.03,0.00862535408529,0.0010919745534,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.967782002335,0.0322179976651,0.203267742374,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.967787438536,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.00458432136862,0.000594766582304,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.967782002335,0.0322179976651,0.203267742374,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.967787438536,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.00458432136862,0.000594766582304,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.967782002335,0.0322179976651,0.203267742374,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.967787438536,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.00458432136862,0.000594766582304,False
heavy_leg__matched_linear,heavy_leg,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.967782002335,0.0322179976651,0.203267742374,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.967787438536,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.00458432136862,0.000594766582304,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.965580186606,0.0344198133936,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.965584790819,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.00190701518787,0.000253472103988,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.965580186606,0.0344198133936,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.965584790819,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.00190701518787,0.000253472103988,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.965580186606,0.0344198133936,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.965584790819,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.00190701518787,0.000253472103988,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.970184548874,0.0298154511256,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.970189195338,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.00377163704275,0.000478890998795,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.970184548874,0.0298154511256,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.970189195338,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.00377163704275,0.000478890998795,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.970184548874,0.0298154511256,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.970189195338,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.00377163704275,0.000478890998795,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.971232932129,0.0287670678709,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971237715612,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.00360035812028,0.000454580579219,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.971232932129,0.0287670678709,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971237715612,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.00360035812028,0.000454580579219,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.971232932129,0.0287670678709,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971237715612,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.00360035812028,0.000454580579219,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.971232932129,0.0287670678709,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971237715612,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.00360035812028,0.000454580579219,False
baseline__structured_residual,baseline,structured_residual,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.0321178113255,0.00147178082842,False
baseline__structured_residual,baseline,structured_residual,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.971515062695,0.028484937305,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971519863561,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.00363767488693,0.000454778875281,False
baseline__structured_residual,baseline,structured_residual,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.971515062695,0.028484937305,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971519863561,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.00363767488693,0.000454778875281,False
baseline__structured_residual,baseline,structured_residual,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.971515062695,0.028484937305,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.971519863561,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.00363767488693,0.000454778875281,False
baseline__combined_mild,baseline,combined_mild,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0358927642302,0.00172312331363,False
baseline__combined_mild,baseline,combined_mild,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.966892394609,0.0331076053914,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.966896990161,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0027897543916,0.000362026154498,False
baseline__combined_mild,baseline,combined_mild,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.966892394609,0.0331076053914,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.966896990161,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0027897543916,0.000362026154498,False
baseline__combined_mild,baseline,combined_mild,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,5,5,0,0,0,1,0.966892394609,0.0331076053914,0,5,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,6,0,0,1,0.966896990161,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0027897543916,0.000362026154498,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.969202794811,0.030797205189,0.195131106049,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.969208014726,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.00427479418365,0.000551587562491,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.969202794811,0.030797205189,0.195131106049,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.969208014726,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.00427479418365,0.000551587562491,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.969202794811,0.030797205189,0.195131106049,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.969208014726,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.00427479418365,0.000551587562491,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,CUMULATIVE_ENDPOINT_SEMANTICS_COMPARATOR,RESEARCH_ONLY,13,5,8,0,0,1,0.969202794811,0.030797205189,0.195131106049,13,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,14,1,0,1,0.969208014726,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.00427479418365,0.000551587562491,False
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,S0_CURRENT_ADDITIVE_MARGIN,CURRENT_RESEARCH_CANDIDATE_COMPARATOR,RESEARCH_ONLY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h-5.000_k-5.000_p-0.02500,0.939022229778,-5,-5,-0.025,0.0609777702223,0.00261732001732,False
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,CATEGORICAL_DIRECTION_EVIDENCE_COMPARATOR,RESEARCH_ONLY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h-5.000_k-5.000_p-0.02500,0.939022229778,-5,-5,-0.025,0.0609777702223,0.00261732001732,False
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,TRANSPARENT_INTERVAL_COMPARATOR,RESEARCH_ONLY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h-5.000_k-5.000_p-0.02500,0.939022229778,-5,-5,-0.025,0.0609777702223,0.00261732001732,False
