case_id,subject_id,scenario,case_class,policy_id,executed_trial_count,natural_stop_reached,natural_stop_iteration,stop_reason,diagnostic_cap_reached,diagnostic_cap,diagnostic_horizon_status,human_trial_recommendation
heavy_leg__matched_linear,heavy_leg,matched_linear,MATCHED_POSITIVE_CONTROL,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
heavy_leg__matched_linear,heavy_leg,matched_linear,MATCHED_POSITIVE_CONTROL,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,True,14,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,MILD_MODEL_MISMATCH,P0_SUPPORTED_ONLY_GREEDY,20,False,,STOP_MAX_PERSONALIZATION_TRIALS,True,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,MILD_MODEL_MISMATCH,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,MILD_MODEL_MISMATCH,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,MILD_MODEL_MISMATCH,P0_SUPPORTED_ONLY_GREEDY,20,False,,STOP_MAX_PERSONALIZATION_TRIALS,True,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,MILD_MODEL_MISMATCH,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,MILD_MODEL_MISMATCH,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,MILD_MODEL_MISMATCH,P0_SUPPORTED_ONLY_GREEDY,20,False,,STOP_MAX_PERSONALIZATION_TRIALS,True,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,MILD_MODEL_MISMATCH,P1_DECISION_GUARDED_EXPLOIT_ONLY,5,True,6,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,MILD_MODEL_MISMATCH,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,True,6,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__structured_residual,baseline,structured_residual,MILD_MODEL_MISMATCH,P0_SUPPORTED_ONLY_GREEDY,20,False,,STOP_MAX_PERSONALIZATION_TRIALS,True,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__structured_residual,baseline,structured_residual,MILD_MODEL_MISMATCH,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__structured_residual,baseline,structured_residual,MILD_MODEL_MISMATCH,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__combined_mild,baseline,combined_mild,MILD_MODEL_MISMATCH,P0_SUPPORTED_ONLY_GREEDY,20,False,,STOP_MAX_PERSONALIZATION_TRIALS,True,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__combined_mild,baseline,combined_mild,MILD_MODEL_MISMATCH,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
baseline__combined_mild,baseline,combined_mild,MILD_MODEL_MISMATCH,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,True,1,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,False
