case_id,policy_id,metric,historical_value,replayed_value,absolute_difference,reproduced
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,final_best_alpha_phase,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,number_of_executed_trials,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,number_of_explore_trials,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,number_of_exploit_trials,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,missed_improvement_rounds,1,1,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,premature_conservative_stops,1,1,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,number_of_executed_false_improvements,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,final_best_actual_J,1,1,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,global_truth_regret,0.0291011844616,0.0291011844616,3.21236093281e-14,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,low_decision_value_exploration_count,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,correct_local_stops,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,final_best_alpha_hip,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,final_best_alpha_knee,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V1_G0_C0_S0,final_best_alpha_phase,0,0,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,number_of_executed_trials,9,9,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,number_of_explore_trials,8,8,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,number_of_exploit_trials,1,1,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,missed_improvement_rounds,1,1,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,premature_conservative_stops,0,0,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,number_of_executed_false_improvements,0,0,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,final_best_actual_J,0.994967735184,0.994967735184,2.93542967711e-13,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,global_truth_regret,0.0207975482133,0.0207975482133,4.25909307822e-14,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,low_decision_value_exploration_count,7,7,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,correct_local_stops,1,1,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_hip,0,0,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_knee,-1,-1,0,True
prospective_subject_002__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_phase,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,number_of_executed_trials,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,number_of_explore_trials,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,number_of_exploit_trials,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,missed_improvement_rounds,1,1,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,premature_conservative_stops,1,1,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,number_of_executed_false_improvements,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,final_best_actual_J,1,1,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,global_truth_regret,0.0537660518215,0.0537660518215,1.93872695675e-14,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,low_decision_value_exploration_count,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,correct_local_stops,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,final_best_alpha_hip,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,final_best_alpha_knee,0,0,0,True
prospective_subject_003__combined_strong,P2_V1_G0_C0_S0,final_best_alpha_phase,0,0,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,number_of_executed_trials,13,13,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,number_of_explore_trials,8,8,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,number_of_exploit_trials,5,5,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,missed_improvement_rounds,1,1,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,premature_conservative_stops,0,0,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,number_of_executed_false_improvements,0,0,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,final_best_actual_J,0.973706313745,0.973706313745,4.7428727612e-13,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,global_truth_regret,0.000837074344438,0.000837074344438,3.0617869351e-16,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,low_decision_value_exploration_count,7,7,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,correct_local_stops,1,1,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_hip,0,0,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_knee,-5,-5,0,True
prospective_subject_003__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_phase,0,0,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,number_of_executed_trials,8,8,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,number_of_explore_trials,3,3,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,number_of_exploit_trials,5,5,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,missed_improvement_rounds,1,1,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,premature_conservative_stops,0,0,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,number_of_executed_false_improvements,0,0,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,final_best_actual_J,0.969202794811,0.969202794811,2.25375273999e-14,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,global_truth_regret,0.00427479418365,0.00427479418365,2.0435042547e-15,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,low_decision_value_exploration_count,2,2,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,correct_local_stops,1,1,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_hip,0,0,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_knee,-5,-5,0,True
prospective_subject_001__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_phase,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,number_of_executed_trials,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,number_of_explore_trials,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,number_of_exploit_trials,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,missed_improvement_rounds,1,1,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,premature_conservative_stops,1,1,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,number_of_executed_false_improvements,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,final_best_actual_J,1,1,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,global_truth_regret,0.0609777702223,0.0609777702223,4.76285677564e-14,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,low_decision_value_exploration_count,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,correct_local_stops,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,final_best_alpha_hip,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,final_best_alpha_knee,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,final_best_alpha_phase,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,number_of_executed_trials,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,number_of_explore_trials,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,number_of_exploit_trials,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,missed_improvement_rounds,1,1,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,premature_conservative_stops,1,1,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,number_of_executed_false_improvements,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,final_best_actual_J,1,1,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,global_truth_regret,0.0291011844616,0.0291011844616,3.21236093281e-14,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,low_decision_value_exploration_count,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,correct_local_stops,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,final_best_alpha_hip,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,final_best_alpha_knee,0,0,0,True
prospective_subject_002__hip_knee_coupling_strong,P2_V2A_G2_C0_S2,final_best_alpha_phase,0,0,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,number_of_executed_trials,2,2,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,number_of_explore_trials,2,2,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,number_of_exploit_trials,0,0,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,missed_improvement_rounds,3,3,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,premature_conservative_stops,1,1,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,number_of_executed_false_improvements,0,0,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,final_best_actual_J,1,1,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,global_truth_regret,0.0258263082185,0.0258263082185,7.58768048392e-15,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,low_decision_value_exploration_count,2,2,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,correct_local_stops,0,0,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_hip,0,0,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_knee,0,0,0,True
prospective_subject_002__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_phase,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,number_of_executed_trials,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,number_of_explore_trials,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,number_of_exploit_trials,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,missed_improvement_rounds,1,1,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,premature_conservative_stops,1,1,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,number_of_executed_false_improvements,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,final_best_actual_J,1,1,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,global_truth_regret,0.0537660518215,0.0537660518215,1.93872695675e-14,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,low_decision_value_exploration_count,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,correct_local_stops,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,final_best_alpha_hip,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,final_best_alpha_knee,0,0,0,True
prospective_subject_003__combined_strong,P2_V2A_G2_C0_S2,final_best_alpha_phase,0,0,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,number_of_executed_trials,2,2,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,number_of_explore_trials,2,2,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,number_of_exploit_trials,0,0,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,missed_improvement_rounds,3,3,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,premature_conservative_stops,1,1,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,number_of_executed_false_improvements,0,0,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,final_best_actual_J,1,1,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,global_truth_regret,0.0271274717933,0.0271274717933,2.44283759887e-14,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,low_decision_value_exploration_count,2,2,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,correct_local_stops,0,0,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_hip,0,0,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_knee,0,0,0,True
prospective_subject_003__matched_linear,P2_V2A_G2_C0_S2,final_best_alpha_phase,0,0,0,True
